fold,cause,precision,recall,f1
1,BearingWear,0.6538461538461539,0.788659793814433,0.7149532710280374
1,CloggedFilter,0.9166666666666666,1.0,0.9565217391304348
1,FanFault,0.636968085106383,0.5550405561993047,0.5931888544891641
1,LowCoolingEfficiency,0.2964824120603015,0.3414351851851852,0.31737493275954815
2,BearingWear,0.6867816091954023,0.8356643356643356,0.7539432176656151
2,CloggedFilter,0.9292161520190024,1.0,0.9633095296724945
2,FanFault,0.6670951156812339,0.5938215102974829,0.6283292978208233
2,LowCoolingEfficiency,0.28375527426160335,0.3240963855421687,0.3025871766029246
3,BearingWear,0.6763888888888889,0.8157453936348409,0.7395596051632498
3,CloggedFilter,0.9555236728837877,1.0,0.9772560528246516
3,FanFault,0.6473755047106325,0.5887392900856793,0.6166666666666667
3,LowCoolingEfficiency,0.2803347280334728,0.33209417596034696,0.3040272263187748
4,BearingWear,0.6794682422451994,0.8318264014466547,0.7479674796747967
4,CloggedFilter,0.9270283245319251,1.0,0.9621325361235675
4,FanFault,0.6463104325699746,0.6091127098321343,0.6271604938271605
4,LowCoolingEfficiency,0.28125,0.2517482517482518,0.2656826568265683
5,BearingWear,0.6976047904191617,0.8442028985507246,0.7639344262295082
5,CloggedFilter,0.902127659574468,1.0,0.9485458612975392
5,FanFault,0.6457286432160804,0.5749440715883669,0.6082840236686391
5,LowCoolingEfficiency,0.2966360856269113,0.3523002421307506,0.32208079690094077
